,obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,descDitheredRotTelPos,airmass,fiveSigmaDepth,expMJD,descDitheredRotSkyPos,fieldRA,fieldDec,rotSkyPos,rotTelPos,d1,d2,d3,d4
1445,781459,g,1.097772,57.60209162031889,-29.538438057512998,2.339386677519151,1.49359155722,24.4115695362,60730.084751,256.6890456004387,57.23951505760047,-30.8641478038867,266.35123399714286,11.026286288395127,2.012578487368526,2.820213911303581,1.5014168391609313,2.485184773197137
1448,787960,r,1.014639,58.303882852890276,-30.197167634574903,-40.31588877548281,1.27882441918,23.9720156722,60739.02903,218.03321832387863,57.23951505760047,-30.8641478038867,255.18010397813865,-3.6545540004624426,2.139361620676599,2.6723039505332182,0.8443669737363404,1.8215107497876992
1449,787961,r,1.041247,55.008033107561715,-30.337141223925368,-40.266156038865454,1.33454410672,23.922331706,60739.029478,217.2691122393616,54.04475968773052,-30.452706811203253,253.74558954646966,-3.6048212638450874,1.0804393802490637,1.8669244864093248,2.657381037888179,3.052490891193744
1451,788003,r,1.072564,57.73038178089699,-29.613266345557086,-43.61056798482359,1.40142153461,23.8991811324,60739.048557,212.0013789786439,57.23951505760047,-30.8641478038867,249.70193990733384,-6.949233209803216,2.038262038519129,2.8115228890646686,1.406132063935179,2.3979384023837595
1456,788845,r,1.317915,57.90359352226588,-30.215559579798605,37.05507137183427,1.49438722259,23.4913006549,60740.057536,292.07412675935956,57.23951505760047,-30.8641478038867,276.7769459246819,21.462769822482585,1.816440890232666,2.416635512135275,0.7888163982330024,1.7863481732127797
1466,796360,z,0.675495,58.89840962817598,-30.700568353376852,-95.31743068530228,1.3778922457,23.2380822869,60753.006997,162.0991804617488,57.23951505760047,-30.8641478038867,247.73778328984585,-9.289364732456036,2.5061904061752913,2.7954378235995003,0.8273738291289202,1.5090160879891716
1467,796361,z,0.666047,57.417899122179826,-33.42211788024826,-95.26718228666931,1.34649563291,23.2745555446,60753.007444,164.48335312980927,58.43974704684052,-33.82473532288669,251.2688648854576,-9.239116333823064,2.7028455986938633,1.856220352786349,2.4716677152791333,1.504087411378133
1469,796364,z,0.699682,54.331687953344456,-31.653282575120382,-95.06120395931978,1.46015299853,23.1730509831,60753.008785,161.63762189029802,54.04475968773052,-30.452706811203253,246.4157977691405,-9.033138006473532,1.5676750836194855,1.4592471149659552,3.200732591548113,3.1358406358067694
1491,888405,g,1.060767,55.73828116273161,-30.116265993902434,-121.95389480625718,1.18724270031,24.5659993639,60881.39968,338.64812820004994,54.04475968773052,-30.452706811203253,61.0385117182154,-38.36015463758326,0.9120171100752049,1.8970266062211696,2.138653674807,2.702125049650897
1492,893766,i,1.042436,55.26528325041411,-33.525708649607914,120.50660341575673,1.17915764931,23.5372171635,60887.387063,215.28142380900735,55.12719155429167,-33.448015572588176,157.65787440139346,63.11015521806992,2.600972371942479,1.6460426536407986,3.4241295390097863,2.7595798725581364
1493,893768,i,1.036735,54.489142913081125,-30.432080330578543,120.66496895033089,1.16890375928,23.5443390306,60887.387964,219.99506053945709,54.04475968773052,-30.452706811203253,162.19037163133487,63.26852075264408,1.4176087486109195,2.031670664403353,3.0711349527328573,3.3869975773201397
1494,893769,i,1.053979,58.22772308541482,-30.29279429058224,120.71120664439795,1.20185227857,23.5147668082,60887.388412,221.22566822391187,57.23951505760047,-30.8641478038867,162.48137689548182,63.31475844671113,2.042838055161346,2.5590943669546258,0.7338408081424442,1.7182927759133224
1497,893798,i,1.025634,58.19541692659948,-31.18466039448288,121.04759016591925,1.14775426765,23.5709588085,60887.402429,218.6653807076348,57.23951505760047,-30.8641478038867,161.26842524318988,63.65114196823244,1.889029978920763,2.04000518227866,0.24920462809030391,0.8321569094951411
1498,893799,i,1.00993,54.47452067113403,-31.62669733342631,121.09829693078834,1.11829068621,23.5981164138,60887.402877,216.60249879475404,54.04475968773052,-30.452706811203253,161.10507497579806,63.70184873310152,1.4461021455670222,1.3489717624608968,3.076301201604683,3.018872959857293
