obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,airmass,fiveSigmaDepth,expMJD,d1,d2,d3,d4
212076,r,0.73556,58.25595760044612,-31.01156984457386,1.0849055136,23.9346924006,59867.21696,1.9336172247239045,2.1624384428756223,0.21968999611065174,1.012232346918531
212084,r,0.726678,54.79456292377016,-33.360467621492184,1.062673821,23.9505093117,59867.220834,2.5714573494536137,1.6971129396710871,3.595747136712583,3.021389845250594
212086,r,0.844085,56.37846247002551,-29.4907106731786,1.07357821151,23.7631370585,59867.221762,1.5442909611289575,2.530276215452498,2.059115010068963,2.870201232612308
212126,r,0.671491,56.779416467387534,-33.29303048900528,1.02458195518,24.0238346067,59867.244884,2.3860762786068537,1.4500306011331785,2.515093940377868,1.6516915012560165
212710,r,0.768296,55.47362248760073,-33.03084500195342,1.43573189147,24.3661538426,59868.131027,2.079299348134907,1.122339690440112,2.9515751731411037,2.3665565306878764
212746,r,0.734533,55.10494306618799,-32.49667644955295,1.32059991366,24.4526557325,59868.148145,1.6790715111791576,0.9053771294165713,2.8809214993760253,2.498253735567284
213515,r,0.749233,59.897153829597094,-31.90383701893109,1.44234507108,24.393069047,59869.143898,3.445009419007882,3.3079244080251633,1.8536523127969158,1.6125695970001044
213546,r,0.698402,57.15891971094066,-33.51212954986331,1.29003865604,24.5164053926,59869.159769,2.6964746482370057,1.7989738607716599,2.610848530572362,1.6693676210812434
213547,r,0.710718,59.5555430840494,-32.53283008642571,1.3288459055,24.4875125249,59869.160216,3.3890523223505005,3.0531701581951984,2.024447141539584,1.4191330130344237
219916,u,0.812063,57.06843926055026,-30.759181935818734,1.3774411728,23.4979844821,59877.122191,0.9480754102346619,1.5399999540999296,0.8349873140569727,1.4738001887308292
219922,r,0.745595,58.719555161809076,-32.3970390889797,1.35820054499,24.4161463146,59877.126438,2.7027470379821246,2.3352350196067158,1.5252818118592855,0.7269013449609233
219924,r,0.740634,58.15383275850221,-30.458894755390666,1.34339582958,24.4349293927,59877.127333,1.9288249198875804,2.4013467774118475,0.5570280051967559,1.5467082770903429
219946,r,0.741136,54.811592630667036,-32.92891581019964,1.24665555849,24.4721799287,59877.137369,2.176464903243369,1.3668246742077537,3.3219803091309505,2.845845415629052
219947,r,0.753286,56.164067050495106,-29.86989414199618,1.28157191895,24.4314002869,59877.137816,1.1389243567125842,2.134748417869752,1.9449037366070008,2.648889469479142
219949,r,0.768985,59.96668166387899,-30.979484208046532,1.32675445317,24.4011091693,59877.138716,3.4003572823278017,3.5328493902979585,1.6860593915624495,1.963093215418546
